id,viewCount,likeCount,favoriteCount,commentCount
TdSGmKSlcS8,81736,4281,0,453
NXhV756Us0o,101970,3920,0,455
vTFYGJT1vuI,167747,5811,0,473
TFG_PWkdArY,155869,6763,0,605
evDvzwGD_9w,245843,10696,0,640
zGv68RvajSY,206040,8192,0,500
7yvIDDVF0MA,252651,11335,0,807
bEialNkaRMI,227084,8156,0,1058
8Sk4C2E9jVU,312467,12548,0,1320
9MjZ2wZajGw,105665,4404,0,307
cirm6CcJZ2c,205751,6326,0,390
rLR-7hGduv8,166100,5230,0,509
MILNqPjeKB8,128343,3971,0,307
ndCW2xAjBWw,174604,4318,0,329
CYTEOrmUzPo,239261,5927,0,402
AcMLZSoYfhk,174555,6681,0,292
hX6CifEv_70,291280,8974,0,753
Z82T24Tpzno,201858,4609,0,554
5vA9fJbA1do,157205,4657,0,300
kjMk7bmadJk,280247,10841,0,661
xoFnDmt0mLw,222192,6091,0,353
dgGMjad19DU,198832,7256,0,691
e4jLA9oQuRs,201259,8405,0,686
sQZ5Qu6mAz4,407671,22316,0,1944
pZEP3LOroZI,100329,3585,0,199
I336BVXyBDw,218495,5849,0,287
zZAb4yRg_sI,142597,5429,0,401
wapOCWas914,227572,6703,0,312
EPvP-4yXxYk,1026425,34694,0,2033
Rd4MTyd6Upk,130279,4765,0,340
X9volnh5fXo,310100,8191,0,593
31QXfnmAhgo,258940,7788,0,844
pwKvYNQh3uY,302867,14276,0,1134
hC166LquoHw,178859,6435,0,534
iaXQlTZepf4,748518,33047,0,1905
ct_tIR6JFQI,196242,5629,0,540
iYPv27a-geE,249483,10433,0,697
_JjVyF85480,308384,17119,0,1494
PiwWgALiNzc,605821,11374,0,696
a6z2fuamarg,49947,1514,0,124
uMlcVCYXOvg,213177,9228,0,1039
aGdVrguXz5o,177012,9787,0,932
e9Ta97EyHhk,88843,3352,0,297
tUOpd3C-a_o,656032,17008,0,1362
hKWuRIcP3J0,712553,13967,0,1022
inWbFAU7EN8,62876,2481,0,212
7HMzq6Mi-Is,137929,5241,0,531
jZnCkl4AYR8,98109,4105,0,491
30ATJwJXSN4,310514,8885,0,1222
QC5F-tgk3L8,332818,8382,0,665
