kind,etag,id,contentDetails.videoId,contentDetails.videoPublishedAt
youtube#playlistItem,uq-qGd3_eya2XdMMAd9YayfpC4w,UExVZEFNbFp0YVYxM0trOS1RdkhiNzFtR2w2UXZrQ01DSi4yQzk4QTA5QjkzMTFFOEI1,TdSGmKSlcS8,2022-12-18T10:00:23Z
youtube#playlistItem,IcfsZeOOgVBmRLWFrXThZ2w5JxA,UExVZEFNbFp0YVYxM0trOS1RdkhiNzFtR2w2UXZrQ01DSi5EQkE3RTJCQTJEQkFBQTcz,NXhV756Us0o,2022-11-13T10:00:19Z
youtube#playlistItem,dSb6G-8BsaZt93a6Tjsk3HMgWQU,UExVZEFNbFp0YVYxM0trOS1RdkhiNzFtR2w2UXZrQ01DSi43QzNCNkZENzIyMDY2MjZB,vTFYGJT1vuI,2022-11-06T10:00:25Z
youtube#playlistItem,pNEVaJpa5RH5-r1NuNq6UfqyMJs,UExVZEFNbFp0YVYxM0trOS1RdkhiNzFtR2w2UXZrQ01DSi42RTNCOEMxREI3Q0VDMjU2,TFG_PWkdArY,2022-10-23T09:00:21Z
youtube#playlistItem,fyLXMlc96iZFE6ruMbD_3hKQn3U,UExVZEFNbFp0YVYxM0trOS1RdkhiNzFtR2w2UXZrQ01DSi40MDNEMzA0QTBFRThFMzBE,evDvzwGD_9w,2022-10-16T09:00:18Z
youtube#playlistItem,Qkq5ThQ3LySWHL1GtBiBfABrbcA,UExVZEFNbFp0YVYxM0trOS1RdkhiNzFtR2w2UXZrQ01DSi42MjYzMTMyQjA0QURCN0JF,zGv68RvajSY,2022-10-02T09:00:35Z
youtube#playlistItem,WfLER_eROxelR6v-TY7wCiibZHs,UExVZEFNbFp0YVYxM0trOS1RdkhiNzFtR2w2UXZrQ01DSi4xM0YyM0RDNDE4REQ1NDA0,7yvIDDVF0MA,2022-09-18T09:00:08Z
youtube#playlistItem,rwIpWR7V_vev-Aqyet0qOz8LDgI,UExVZEFNbFp0YVYxM0trOS1RdkhiNzFtR2w2UXZrQ01DSi5ERkUyQTM0MzEwQjZCMTY5,bEialNkaRMI,2022-08-28T09:00:27Z
youtube#playlistItem,KiwofxEqnRGDosTmZSOdsrThfLI,UExVZEFNbFp0YVYxM0trOS1RdkhiNzFtR2w2UXZrQ01DSi5CNTcxMDQ0NThBNzMxODYz,8Sk4C2E9jVU,2022-08-21T09:00:04Z
youtube#playlistItem,Q9VQSMhFZRTcjW8DiNTmeBdB7CI,UExVZEFNbFp0YVYxM0trOS1RdkhiNzFtR2w2UXZrQ01DSi5CNTZFOTNGQzZEODg1RUQx,9MjZ2wZajGw,2022-07-30T09:00:07Z
